stimulusNum,patternName,pairNumber,leftRevealOrder,leftShape,leftSize,leftFill,rightRevealOrder,rightShape,rightSize,rightFill,xPos,yPos
1,No-Fill-Filled,1,1,Square,Medium,Solid Fill,10,Circle,Medium,No Fill,0.884,0.42
1,No-Fill-Filled,2,2,Circle,Small,No Fill,7,Circle,Medium,Solid Fill,0.802,0.92
1,No-Fill-Filled,3,3,Square,Medium,Solid Fill,5,Circle,Large,No Fill,0.298,0.097
1,No-Fill-Filled,4,4,Triangle,Medium,Solid Fill,2,Square,Small,No Fill,0.92,0.298
1,No-Fill-Filled,5,5,Triangle,Small,Solid Fill,9,Triangle,Small,No Fill,0.097,0.198
1,No-Fill-Filled,6,6,Triangle,Medium,Solid Fill,1,Triangle,Large,No Fill,0.198,0.601
1,No-Fill-Filled,7,7,Square,Large,No Fill,3,Circle,Medium,Solid Fill,0.702,0.399
1,No-Fill-Filled,8,8,Circle,Small,Solid Fill,6,Circle,Small,No Fill,0.5,0.702
1,No-Fill-Filled,9,9,Triangle,Small,No Fill,4,Triangle,Medium,Solid Fill,0.601,0.903
1,No-Fill-Filled,10,10,Circle,Large,Solid Fill,8,Square,Large,No Fill,0.399,0.802
2,Circle-Triangle-Square,1,1,Circle,Medium,Solid Fill,7,Triangle,Medium,Solid Fill,0.601,0.399
2,Circle-Triangle-Square,2,2,Circle,Small,Solid Fill,4,Triangle,Medium,No Fill,0.5,0.702
2,Circle-Triangle-Square,3,3,Triangle,Large,No Fill,9,Square,Medium,Solid Fill,0.802,0.92
2,Circle-Triangle-Square,4,4,Triangle,Small,Solid Fill,2,Square,Small,No Fill,0.92,0.601
2,Circle-Triangle-Square,5,5,Square,Small,Solid Fill,10,Circle,Medium,No Fill,0.702,0.097
2,Circle-Triangle-Square,6,6,Square,Medium,No Fill,3,Circle,Large,No Fill,0.198,0.903
2,Circle-Triangle-Square,7,7,Triangle,Small,Solid Fill,1,Square,Large,Solid Fill,0.399,0.802
2,Circle-Triangle-Square,8,8,Triangle,Small,Solid Fill,5,Square,Small,Solid Fill,0.097,0.5
2,Circle-Triangle-Square,9,9,Triangle,Small,Solid Fill,8,Square,Small,No Fill,0.298,0.198
2,Circle-Triangle-Square,10,10,Square,Medium,Solid Fill,6,Circle,Large,Solid Fill,0.903,0.298
3,Random,1,1,Triangle,Small,No Fill,6,Triangle,Large,No Fill,0.601,0.601
3,Random,2,2,Triangle,Large,Solid Fill,2,Circle,Medium,No Fill,0.802,0.198
3,Random,3,3,Circle,Large,No Fill,7,Circle,Medium,No Fill,0.198,0.298
3,Random,4,4,Circle,Large,No Fill,10,Square,Large,Solid Fill,0.097,0.903
3,Random,5,5,Square,Medium,Solid Fill,5,Circle,Medium,Solid Fill,0.298,0.097
3,Random,6,6,Square,Small,Solid Fill,3,Circle,Large,Solid Fill,0.702,0.92
3,Random,7,7,Triangle,Large,No Fill,8,Triangle,Large,No Fill,0.903,0.5
3,Random,8,8,Square,Small,Solid Fill,4,Square,Large,Solid Fill,0.399,0.702
3,Random,9,9,Square,Large,No Fill,9,Circle,Medium,Solid Fill,0.92,0.802
3,Random,10,10,Square,Medium,No Fill,1,Square,Medium,Solid Fill,0.5,0.399
4,Circle-Triangle-Square,1,1,Triangle,Small,Solid Fill,3,Square,Large,Solid Fill,0.601,0.702
4,Circle-Triangle-Square,2,2,Circle,Large,No Fill,1,Triangle,Small,No Fill,0.702,0.802
4,Circle-Triangle-Square,3,3,Circle,Medium,Solid Fill,2,Triangle,Large,No Fill,0.399,0.399
4,Circle-Triangle-Square,4,4,Circle,Large,Solid Fill,6,Triangle,Small,Solid Fill,0.198,0.198
4,Circle-Triangle-Square,5,5,Circle,Small,Solid Fill,9,Triangle,Medium,Solid Fill,0.802,0.601
4,Circle-Triangle-Square,6,6,Circle,Small,Solid Fill,10,Triangle,Large,No Fill,0.92,0.298
4,Circle-Triangle-Square,7,7,Square,Small,Solid Fill,5,Circle,Medium,Solid Fill,0.097,0.097
4,Circle-Triangle-Square,8,8,Square,Medium,Solid Fill,8,Circle,Medium,No Fill,0.903,0.5
4,Circle-Triangle-Square,9,9,Triangle,Medium,No Fill,4,Square,Small,Solid Fill,0.5,0.92
4,Circle-Triangle-Square,10,10,Triangle,Large,Solid Fill,7,Square,Small,Solid Fill,0.298,0.903
5,Random,1,1,Square,Small,No Fill,10,Circle,Large,No Fill,0.198,0.399
5,Random,2,2,Square,Large,No Fill,4,Circle,Large,Solid Fill,0.097,0.5
5,Random,3,3,Triangle,Large,No Fill,9,Square,Small,No Fill,0.802,0.903
5,Random,4,4,Circle,Large,Solid Fill,2,Triangle,Medium,Solid Fill,0.702,0.298
5,Random,5,5,Circle,Large,No Fill,7,Circle,Medium,Solid Fill,0.5,0.097
5,Random,6,6,Triangle,Large,Solid Fill,1,Circle,Medium,Solid Fill,0.298,0.198
5,Random,7,7,Circle,Small,Solid Fill,5,Circle,Medium,Solid Fill,0.903,0.601
5,Random,8,8,Square,Large,Solid Fill,3,Circle,Medium,Solid Fill,0.399,0.702
5,Random,9,9,Triangle,Large,No Fill,8,Circle,Medium,Solid Fill,0.92,0.802
5,Random,10,10,Circle,Medium,No Fill,6,Triangle,Large,No Fill,0.601,0.92
6,Random,1,1,Circle,Small,No Fill,9,Triangle,Small,No Fill,0.601,0.903
6,Random,2,2,Square,Small,No Fill,5,Circle,Small,No Fill,0.298,0.097
6,Random,3,3,Square,Medium,Solid Fill,2,Square,Large,No Fill,0.903,0.5
6,Random,4,4,Square,Small,Solid Fill,7,Circle,Medium,No Fill,0.92,0.702
6,Random,5,5,Square,Large,No Fill,10,Square,Small,No Fill,0.5,0.92
6,Random,6,6,Triangle,Small,No Fill,4,Square,Large,Solid Fill,0.399,0.399
6,Random,7,7,Square,Small,No Fill,3,Circle,Large,No Fill,0.198,0.601
6,Random,8,8,Triangle,Medium,No Fill,1,Triangle,Medium,Solid Fill,0.097,0.298
6,Random,9,9,Square,Large,No Fill,6,Triangle,Large,Solid Fill,0.802,0.198
6,Random,10,10,Circle,Medium,Solid Fill,8,Square,Small,Solid Fill,0.702,0.802
7,Same Fill,1,1,Square,Small,Solid Fill,7,Triangle,Small,Solid Fill,0.5,0.92
7,Same Fill,2,2,Square,Large,No Fill,3,Square,Medium,No Fill,0.702,0.097
7,Same Fill,3,3,Circle,Medium,Solid Fill,9,Square,Large,Solid Fill,0.399,0.399
7,Same Fill,4,4,Circle,Large,No Fill,5,Circle,Large,No Fill,0.097,0.601
7,Same Fill,5,5,Circle,Medium,No Fill,1,Triangle,Large,No Fill,0.298,0.903
7,Same Fill,6,6,Square,Medium,Solid Fill,6,Square,Small,Solid Fill,0.802,0.198
7,Same Fill,7,7,Square,Small,Solid Fill,8,Triangle,Large,Solid Fill,0.198,0.5
7,Same Fill,8,8,Square,Large,Solid Fill,10,Circle,Large,Solid Fill,0.903,0.298
7,Same Fill,9,9,Circle,Small,Solid Fill,2,Square,Large,Solid Fill,0.601,0.702
7,Same Fill,10,10,Square,Large,No Fill,4,Triangle,Small,No Fill,0.92,0.802
8,Same Fill,1,1,Triangle,Small,Solid Fill,6,Triangle,Small,Solid Fill,0.601,0.702
8,Same Fill,2,2,Triangle,Small,Solid Fill,9,Circle,Large,Solid Fill,0.903,0.5
8,Same Fill,3,3,Triangle,Large,Solid Fill,3,Square,Small,Solid Fill,0.702,0.298
8,Same Fill,4,4,Triangle,Small,Solid Fill,5,Square,Small,Solid Fill,0.198,0.198
8,Same Fill,5,5,Square,Medium,No Fill,7,Square,Medium,No Fill,0.802,0.802
8,Same Fill,6,6,Square,Large,No Fill,10,Square,Small,No Fill,0.298,0.601
8,Same Fill,7,7,Triangle,Large,Solid Fill,8,Circle,Small,Solid Fill,0.92,0.399
8,Same Fill,8,8,Triangle,Medium,No Fill,1,Triangle,Large,No Fill,0.097,0.903
8,Same Fill,9,9,Circle,Large,Solid Fill,2,Triangle,Medium,Solid Fill,0.399,0.097
